id,file_name,gt_m,gt_w,vqa_m,vqa_w,set_20,dmw_m,dmw_w,dwm_m,dwm_w,gt_p,yolo_p
14186,0331ySydzA7o.png,False,False,False,False,False,False,False,False,True,False,False
14187,012s93sf3rNW.png,False,False,False,False,False,False,False,False,False,False,False
14188,022yjUvQLmb6.png,False,False,False,False,False,True,True,False,True,False,False
14189,022ykV2FgdvD.png,False,False,False,False,False,True,False,True,True,False,False
14190,0331wxSjk9V4.png,True,False,True,False,False,True,True,True,True,True,True
14191,032wYWViKt7F.png,False,False,True,False,False,True,False,False,True,False,False
14192,032sB2j6Ar5m.png,False,False,False,False,False,True,True,True,True,True,True
14193,022yiVVcLzJp.png,True,False,True,True,True,True,False,True,False,True,True
14194,013Aksv1p9ag.png,True,False,True,True,False,True,False,True,True,True,True
14195,012uNWi7Xazz.png,False,False,True,True,False,True,True,True,True,False,False
14196,032sAXxS9Xft.png,False,False,False,False,False,False,False,False,False,False,False
14197,019EBvjXXwuNJ.png,False,True,True,True,False,True,False,True,True,True,True
14198,022sBXirhTEi.png,True,True,True,True,False,True,True,True,True,True,True
14199,032yiVGdCGdW.png,False,False,True,True,False,False,False,False,True,False,False
14200,032ymUDt9nvk.png,False,False,False,False,False,False,False,False,False,False,False
14201,022s93m32NcE.png,False,False,True,True,False,True,False,False,False,False,False
14202,032yiVc3wBps.png,True,False,True,True,False,True,True,True,True,True,True
14203,013AkPbQVszv.png,True,True,True,True,False,True,True,True,True,True,True
14204,032yiV3WfdCe.png,False,False,False,False,False,True,False,False,False,False,False
14205,012uN242UQ5k.png,False,False,False,False,False,True,True,True,True,False,False
14206,0231yxXznzYP.png,False,False,False,False,False,True,True,True,True,False,True
14207,032ynTzLEjGL.png,False,False,False,False,False,True,True,True,True,False,False
14208,0138XQBBcU2N.png,False,False,False,False,False,True,False,False,True,True,True
14209,0231wU89uBqk.png,False,False,True,True,False,False,False,False,False,False,False
14210,022yhzAD8r84.png,False,False,False,False,False,False,False,False,False,False,False
14211,012sAXxTbARr.png,False,False,False,False,False,False,False,False,False,False,False
14212,032s9YC1WZjE.png,False,False,True,False,False,False,False,False,False,False,False
14213,019EBtFgTftvR.png,False,True,False,True,False,True,True,False,True,True,True
14214,019EBskgiauzg.png,False,False,False,True,False,True,True,False,True,True,True
14215,0231xy7PCo77.png,False,False,False,False,False,True,False,False,False,False,False
14216,012uP23Jo832.png,False,False,False,False,False,True,False,True,True,False,True
14217,022wY13yUqJg.png,False,False,True,True,False,True,False,False,False,False,False
14218,0331yTeoGXKM.png,False,False,False,False,False,True,False,False,True,False,False
14219,019EBvjXUybYz.png,False,False,False,False,False,True,True,True,True,False,False
14220,012sB2j6Aqhi.png,False,True,False,True,False,True,True,True,True,True,True
14221,042sB34ikfFC.png,False,True,False,True,False,True,True,True,True,True,True
